goodsNo,name,cat1,cat2,cat3,brand,imgUrl,price,ratingCnt,rating,capacity,mainPoint,useDate,howUse,material,link,feature1,feature2,feature3,skinTypeDry,skinTypeCombination,skinTypeOily,skinConcernsMoisturizing,skinConcernsSoothing,skinConcernsWrinkleWhitening,stimulationMild,stimulationCommon,stimulationHard
A000000173589,[탄력광채] 넘버즈인 3번 결광가득 에센스 토너 300ml 대용량 기획,스킨케어,스킨/토너,스킨/토너,넘버즈인,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017358910ko.jpg?l=ko,"22,400",8926,4.7,300ml,모든 피부 용,제조일로부터 36개월 / 개봉 후 12개월 이내 사용,"세안 후, 스킨케어 첫 단계에서 화장솜에 적셔 피부결을 정돈해준 뒤 손바닥에 덜어 피부결을 따라 얼굴 전체를 감싸듯이 레이어링해줍니다.","정제수, 다이프로필렌글라이콜, 글리세레스-26, 1,2-헥산다이올, 나이아신아마이드, 부틸렌글라이콜, 글리세린, 메틸글루세스-20, 메도우스위트추출물, 락토코쿠스/녹두추출물발효여과물, 락토바실러스/쌀발효물, 클로렐라발효물, 락토바실러스/조류추출발효물, 효모/포도발효추출물, 락토바실러스/호박발효추출물, 락토바실러스/콩발효추출물, 락토바실러스/콩추출물발효여과물, 효모/쌀발효여과추출물, 효모/보리씨발효여과물, 효모/칼슘발효물, 효모/슈가캘프발효물, 효모/감자추출물발효여과물, 락토바실러스/여바산타발효추출물, 락토바실러스/부레옥잠발효물, 락토바실러스/호밀가루발효물, 락토바실러스/히비스커스꽃발효여과물, 락토바실러스/우유발효여과물, 락토바실러스/홍삼발효여과물, 락토바실러스/아세로라체리발효물, 락토바실러스발효물, 락토바실러스발효용해여과물, 락토코커스/우유발효용해물, 락토코쿠스발효물, 락토코쿠스발효추출물, 락토코쿠스발효용해물, 스트렙토코쿠스 테르모필루스발효물, 흑효모발효여과물, 비피다발효여과물, 비피다발효추출물, 류코노스톡/무발효여과물, 락토바실러스/고추냉이뿌리발효추출물, 락토바실러스/석류발효추출물, 바실러스/글루타믹애씨드발효여과물, 바실러스/쌀겨추출물/콩추출물발효여과물, 모나스커스/쌀발효물, 효모/쌀겨발효여과추출물, 효모/쌀겨발효물, 락토바실러스/배즙발효여과물, 피키아발효용해여과물, 알테로모나스발효추출물, 효모/율무씨발효여과물, 효모/콩단백질발효물 , 스핑고모나스발효추출물, 효모/공작석발효물, 효모발효물, 효모발효여과물, 스키조사카로미세스발효여과물, 아스퍼질러스발효물, 아스퍼질러스/글루코오스/콩/전분발효여과물, 센티드제라늄꽃오일 , 소듐하이알루로네이트, 폴리글리세릴-10라우레이트, 세테아릴알코올, 베타인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 폴리쿼터늄-51, 하이드록시에틸셀룰로오스, 아데노신, 제라니올, 시트로넬올",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173589&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=17,피부타입,피부고민,자극도,46%,48%,6%,70%,21%,9%,69%,29%,2%
A000000199836,[리뷰이벤트] 플라스킨 하얀쌀 효소필 단백질 토너 250ml,스킨케어,스킨/토너,스킨/토너,플라스킨,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019983609ko.jpg?l=ko,"20,000",64,4.9,250ml,모든 피부 용,제조 후 사용 기한 36개월 (개봉 후 12개월),"세안 후, 스킨케어 첫 단계에서 화장솜에 적셔 피부결을 정돈해준 뒤 손바닥에 덜어 피부결을 따라 얼굴 전체를 감싸듯이 레이어링해줍니다.","정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 1,2-헥산다이올, 쌀추출물, 귀리커넬추출물, 아티초크잎추출물, 무화과추출물, 병풀추출물, 하이드로제네이티드레시틴, 녹차수, 다이페닐다이메티콘, 트라이에틸헥사노인, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10올리에이트, 메틸프로판다이올, 소듐시트레이트, 하이드록시아세토페논, 에틸헥실글리세린, 시트릭애씨드, 다이소듐이디티에이, 폴리쿼터늄-51, 베타-글루칸, 하이드롤라이즈드쌀단백질, 세라마이드엔피, 토코페롤, 만니톨, 파파인, 브로멜라인",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199836&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=18,피부타입,피부고민,자극도,41%,55%,5%,80%,14%,6%,91%,9%,2%
A000000141881,이즈앤트리 히아루론산 토너 더블 기획 (400ml+400ml),스킨케어,스킨/토너,스킨/토너,이즈앤트리,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014188110ko.jpg?l=ko,"31,900",1082,4.8,히아루론산 토너 400ml x 2ea,모든 피부 타입,제조일로부터 30개월(개봉 후 12개월),세안 후 적당량을 화장솜이나 손에 덜어 얼굴 전체에 가볍게 두드려 흡수시켜줍니다.,"정제수,프로판다이올,1,2-헥산다이올,소듐하이알루로네이트,트레할로오스,소듐피씨에이,글리세린,하이알루로닉애씨드,알로에베라잎추출물,접시꽃뿌리추출물,만주자작나무수액,쇠비름추출물,하이드롤라이즈드소듐하이알루로네이트,베타-글루칸,판테놀,펜틸렌글라이콜,카프릴릴글라이콜,부틸렌글라이콜",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141881&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=19,피부타입,피부고민,자극도,42%,48%,10%,72%,28%,1%,79%,21%,1%
A000000191773,[각질7층보습] 넘버즈인 4번 메이크업 찰떡 미네랄 토너 200ml 기획 (+50ml 증정),스킨케어,스킨/토너,스킨/토너,넘버즈인,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019177302ko.jpg?l=ko,"18,000",566,4.8,[본품] 200ml / [증정] 50ml,모든 피부용,제조일로부터 36개월 / 개봉 후 12개월 이내 사용,"세안 후 적당량을 화장솜에 적셔 얼굴 피부결을 따라 안쪽에서 바깥쪽으로 닦아내거나, 손에 덜어 피부에 흡수시켜줍니다.","온천수, 1,2-헥산다이올, 메틸프로판다이올, 글리세린, 나이아신아마이드, 솔비톨, 정제수, 자일리톨, 하이드록시에틸우레아, 글루코노락톤, 소듐폴리스타이렌설포네이트, 하이드록시에틸셀룰로오스, 폴리글리세릴-10라우레이트, 베타인살리실레이트, 폴리쿼터늄-51, 다이소듐이디티에이, 노니추출물, 파파야열매추출물, 부틸렌글라이콜, 마데카소사이드, 병풀추출물, 펜틸렌글라이콜, 호장근뿌리추출물, 황금추출물, 녹차추출물, 스페인감초뿌리추출물, 소듐하이알루로네이트, 마트리카리아꽃추출물, 로즈마리잎추출물, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000191773&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=20,피부타입,피부고민,자극도,40%,50%,10%,73%,23%,5%,70%,28%,2%
A000000143195,[3040추천]아이디얼 포맨 퍼펙트 스킨 150ml,스킨케어,스킨/토너,스킨/토너,아이디얼포맨,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014319504ko.jpg?l=ko,"17,900",337,4.8,150mL,모든피부용,"제조일로부터 36개월 이내의 상품을 순차적으로 발송, 사용기한 제품에 별도 표기","*퍼펙트 라인 스킨-로션 사용법
스킨 : 세안 후 적당량을 덜어 피부결을 따라 고르게 바르고 가볍게 두드려 흡수시켜줍니다.
로션 : 스킨 사용 후 적당량을 덜어 피부결을 따라 고르게 바르고 가볍게 두드려 흡수시켜줍니다.","정제수, 메틸프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 변성알코올, 글리세린, 병풀추출물, 무화과추출물, 트루로즈오브예리코추출물, 당느릅나무뿌리추출물, 록샘파이어추출물, 줄맨드라미씨추출물, 슈도알테로모나스발효추출물, 플랑크톤추출물, 하이드로제네이티드레시틴, 옥틸도데세스-16, 부틸렌글라이콜, 소듐시트레이트, 다이포타슘글리시리제이트, 아데노신, 시트릭애씨드, 다이소듐이디티에이, 소듐폴리아크릴레이트, 피브이엠/엠에이코폴리머, 세라마이드엔피, 잔탄검, 카르노신, 콜라겐, 류코노스톡/무발효여과물, 세린, 알라닌, 프롤린, 소듐포스페이트, 소듐하이드록사이드, 해수, 아세틸헥사펩타이드-8, 마데카소사이드, 하이드록시아세토페논, 에틸헥실글리세린, 카프릴릴글라이콜, 향료, 부틸페닐메틸프로피오날, 리모넨

[로션]
정제수, 글리세린, 에틸헥실스테아레이트, 변성알코올, 1,2-헥산다이올, 나이아신아마이드, 페닐트라이메티콘, 하이드로제네이티드폴리(C6-14올레핀), 폴리글리세릴-3다이스테아레이트, 세테아릴알코올, 실리카, 메틸트라이메티콘, 록샘파이어추출물, 병풀추출물, 무화과추출물, 다시마추출물, 한련초잎추출물, 슈도알테로모나스발효추출물, 당느릅나무뿌리추출물, 줄맨드라미씨추출물, 트루로즈오브예리코추출물, 플랑크톤추출물, 지모뿌리추출물, 하이드로제네이티드레시틴, 글리세릴스테아레이트, 트레할로오스, 카프릴릭/카프릭트라이글리세라이드, 소듐스테아로일글루타메이트, 카보머, 글리세릴스테아레이트시트레이트, 알지닌, 부틸렌글라이콜, 하이드롤라이즈드콜라겐, 아데노신, 베헤닐알코올, 다이소듐이디티에이, 베타인, 글리세릴스테아레이트에스이, 콜레스테롤, 프룩토올리고사카라이드, 세라마이드엔피, 잔탄검, 베타-글루칸, 카르노신, 하이드롤라이즈드하이알루로닉애씨드, 세린, 알라닌, 프롤린, 해수, 소듐포스페이트, 하이드로제네이티드폴리아이소부텐, 콜라겐, 류코노스톡/무발효여과물, 마데카소사이드, 소듐하이드록사이드, 시어버터, 말토덱스트린, 페네틸알코올, 하이드롤라이즈드로얄젤리단백질, 아세틸헥사펩타이드-8, 에틸헥실글리세린, 카프릴릴글라이콜, 향료, 부틸페닐메틸프로피오날, 리모넨",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000143195&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=21,피부타입,피부고민,자극도,23%,69%,8%,53%,41%,6%,54%,46%,1%
A000000192752,[2023어워즈/4년연속] 라운드랩 1025 독도 토너 500ml 어워즈 한정기획(+크림50ml+패드10매),스킨케어,스킨/토너,스킨/토너,라운드랩,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019275215ko.jpg?l=ko,"29,800",29956,4.8,[본품]라운드랩 1025 독도 토너 500ml+[증정품]라운드랩 자작나무 수분 크림 50ml+[증정품]라운드랩 자작나무 수분패드 10ea,모든 피부용,"제조일로부터 36개월, 개봉 후 12개월 이내 사용","세안 후 적당량을 덜어 화장솜에 충분히 적신 뒤, 피부결을 따라 부드럽게 닦아내어 피부를 정돈시켜줍니다.","[라운드랩 1025 독도 토너]
정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이

[라운드랩 자작나무 수분 크림]
정제수, 글리세린, 아이소노닐아이소노나노에이트, 아이소도데케인, 1,2-헥산다이올, 펜틸렌글라이콜, 폴리데센, 자작나무수액(10,000ppm), 호호바에스터, 판테놀, 글리세릴글루코사이드, 아라비아고무나무검, 하이드롤라이즈드오크라추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 화이트루핀씨추출물, 드럼스틱씨추출물, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 알로에베라꽃추출물, 가지열매추출물, 홀리바질잎추출물, 참산호말추출물, 울금뿌리추출물, 아스코빅애씨드, 펜타에리스리틸테트라에틸헥사노에이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 에틸헥실글리세린, 아가, 다이포타슘글리시리제이트, 글리세릴카프릴레이트, 부틸렌글라이콜, 다이소듐이디티에이

[자작나무 수분 패드]
정제수, 다이프로필렌글라이콜, 글리세린, 자작나무수액(10,967ppm), 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 글루코오스, 다이포타슘글리시리제이트, 소듐하이알루로네이트, 판테놀, 글리세릴글루코사이드, 글리세릴카프릴레이트, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 아스코빅애씨드, 알란토인, 1,2-헥산다이올, 알지닌, 헥실렌글라이콜, 하이드록시아세토페논, 다이소듐이디티에이, 잔탄검, 카보머",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192752&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=22,피부타입,피부고민,자극도,32%,54%,14%,57%,43%,1%,84%,16%,1%
A000000180475,[단독기획] 아비브 어성초 카밍 토너 스킨부스터 500ml 기획 (+화장솜 30매 증정),스킨케어,스킨/토너,스킨/토너,아비브,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018047505ko.jpg?l=ko,"29,250",9354,4.8,500ml+화장솜 30매,모든 피부용,"제조일로부터 24개월, 개봉후 12개월",적당량을 덜어 피부 결을 따라 부드럽게 바른 뒤 가볍게 두드려 흡수시켜 줍니다.,"정제수, 약모밀추출물, 글리세린, 부틸렌글라이콜, 펜틸렌글라이콜, 자일리톨, 비피다발효용해물, 소듐하이알루로네이트, 돌콩추출물, 병풀추출물, 하이드롤라이즈드하이알루로닉애씨드, 황금추출물, 파스향나무잎추출물, 인동덩굴꽃추출물, 베타인, 1,2-헥산다이올, 판테놀, 에틸헥실글리세린, 옥탄다이올, 토코페롤, 바이오사카라이드검-4, 다이소듐이디티에이, 잔탄검",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180475&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=23,피부타입,피부고민,자극도,29%,58%,13%,30%,70%,1%,75%,25%,1%
A000000188086,아비브 어성초 카밍 토너 스킨부스터 250ml 기획(+250ml 리필증정),스킨케어,스킨/토너,스킨/토너,아비브,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018808603ko.jpg?l=ko,"28,700",9669,4.8,250ml+250ml,모든 피부용,"제조일로부터 24개월, 개봉후 12개월",적당량을 덜어 피부 결을 따라 부드럽게 바른 뒤 가볍게 두드려 흡수시켜 줍니다.,"정제수, 약모밀추출물, 글리세린, 부틸렌글라이콜, 펜틸렌글라이콜, 자일리톨, 비피다발효용해물, 소듐하이알루로네이트, 돌콩추출물, 병풀추출물, 하이드롤라이즈드하이알루로닉애씨드, 황금추출물, 파스향나무잎추출물, 인동덩굴꽃추출물, 베타인, 1,2-헥산다이올, 판테놀, 에틸헥실글리세린, 옥탄다이올, 토코페롤, 바이오사카라이드검-4, 다이소듐이디티에이, 잔탄검",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188086&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=24,피부타입,피부고민,자극도,29%,59%,12%,27%,73%,0%,83%,17%,1%
A000000144052,폴라초이스 스킨 발란싱 포어-리듀싱 토너 190ml,스킨케어,스킨/토너,스킨/토너,폴라초이스,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014405204ko.jpg?l=ko,"28,000",131,4.7,190ml,"지성∙악지성 피부를 위한 산뜻한 모공 토너 •끈적임 없이 가볍고 산뜻한 액상 토너 •폴라초이스 토너 판매 1위 •모공 & 결 & 톤 케어의 나이아신아마이드 성분 함유 •피부타입: 지성피부, 복합성피부",36개월 / 12개월,"①화장 솜 혹은 깨끗한 손에 적당량을 덜어 코를 중심으로 안쪽에서 바깥쪽으로 닦아내듯 바릅니다.
②항산화 성분이 피부에 잘 흡수되도록 부드럽게 두드립니다.","정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 폴리솔베이트20, 아데노신, 캐모마일꽃추출물, 우엉뿌리추출물, 하이드롤라이즈드호호바에스터, 소듐피씨에이, 판테놀, 소듐하이알루로네이트, 세라마이드엔피, 세라마이드에이피, 세라마이드이오피, 피토스핑고신, 콜레스테롤, 테트라헥실데실아스코베이트, 올레스-10, 소듐라우로일락틸레이트, 카프릴릴글라이콜, 헥실렌글라이콜, 소듐시트레이트, 잔탄검, 트라이소듐이디티에이, 페녹시에탄올",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144052&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=25,피부타입,피부고민,자극도,8%,55%,37%,31%,62%,8%,55%,41%,4%
A000000198874,닥터지 더모이스처 배리어 D 리퀴드 토너 200ml 기획 (+100ml),스킨케어,스킨/토너,스킨/토너,닥터지,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019887402ko.jpg?l=ko,"23,250",581,4.8,토너 200ml+100ml,모든 피부용,36개월 (개봉 후 12개월),"스킨케어 첫 단계에서 적당량을 손에 덜어 피부 속까지 채워주듯이 두드리며 흡수시켜줍니다.
* 피부가 많이 건조할 때에는 2~3회 레이어링하여 흡수시켜주세요.","정제수, 프로판다이올, 부틸렌글라이콜, 글리세레스-26, 베타인, 글리세린, 1,2-헥산다이올, 다이페닐다이메티콘, 트라이에틸헥사노인, 카보머, 카프릴릴글라이콜, C12-13파레스-9, 하이드로제네이티드레시틴, 카프릴릭/카프릭트라이글리세라이드, 판테놀, 아이소말트, 에틸헥실글리세린, 다이소듐이디티에이, 트로메타민, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10올리에이트, 소듐하이알루로네이트, 세라마이드엔피, 올리브오일불검화물, 밀배아오일불검화물, 알루미늄/마그네슘하이드록사이드스테아레이트, 돌콩오일불검화물, 콜레스테롤, 팔미틱애씨드, 소듐스테아로일글루타메이트, 7-데하이드로콜레스테롤, 꽃가루추출물, 영하구기자추출물, 레시틴, 칼슘클로라이드, 피톨",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198874&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=26,피부타입,피부고민,자극도,0%,100%,0%,100%,0%,0%,100%,0%,0%
